actividad	centro	dni	quien	importe	date	tipo
Suministro Puntos Acceso Inalambrico Centro Civicos	Ayuntamiento		SAYTEL SOLUCIONES GLOBALES, S.L.	14463	06/11/2018	Suministros(Menor)
DIAGNOSTICO DE SITUACION Y PROPUESTA ACTUACION GESTION INTEGRAL PLAGAS EN EL MUNICIPIO DE ZARAGOZA	Ayuntamiento		QUIMERA BIOLOGICAL SYSTEMS S.L.	12735	06/11/2018	Suministros(Menor)
Suministro de medidor multiparametrico para el control del agua suministrada con camiones cisterna.	Ayuntamiento		HACH LANGE SPAIN, S.L.U.	3741	05/11/2018	Suministros(Menor)
Suministro EPIS en reparacion tuberias de  fibrocemento.	Ayuntamiento		SERVICIOS AUXILIARES LOGISTICA FERRETERIA S.L.U.	2886	05/11/2018	Suministros(Menor)
Contrato Menor Servicios realizacion perforaciones de drenaje en Sepulturas Cementerio  de Torrero.	Ayuntamiento		LABORATORIO DE ENSAYOS TECNICOS S.A	8016	30/10/2018	Servicios(Menor)
MEMORIA VALORADA OBRAS DE MEJORA DE LA SALA VENECIA	Ayuntamiento		APLICACIONES Y DESARROLLOS INTEGRALES MARCO, S.L.	12897	30/10/2018	Obras(Menor)
SUMINISTRO DE PISTA DESMONTABLE A3 PARA REPOSICION PARCIAL DE LA YA EXISTENTE EN EL CDM SIGLO XXI	Ayuntamiento		PL Sports, S.L.	14980	29/10/2018	Suministros(Menor)
ACONDICIONAMIENTO DE ACCESOS Y DESLINDE DE PARCELAS EN EL PARQUE AGROECOLOGICO VIVERO DE MOVERA	Ayuntamiento		PLANTAE ARAGON S.L.	24700	26/10/2018	Obras(Menor)
RESTAURACION DE 4 LOTES DE MONEDAS PROCEDENTES DE EXCAVACIONES ARQUEOLOGICAS MUNICIPALES EN ZARAGOZA	Ayuntamiento		BALDER SERVICIOS PROFESIONALES, S.L.	14200	26/10/2018	Servicios(Menor)
OBRAS DE ACONDICIONAMIENTO DE LA RECEPCION DE LA BIBLIOTECA MARIA MOLINER	Ayuntamiento		PUBLIC SERVICE ENTERPRISE, S.L.	36825	25/10/2018	Obras(Menor)
